type,id,sectionId,title,label,icon,route,order,isActive,badgeValue,badgeType,badgeShowCollapsed,appName,logoSrc,showUserArea,userName,userRole,userAvatar,userActions
config,app_config,,,,,,,,,,,"Clara Dashboard",/assets/clara-logo.svg,true,Max Mustermann,Administrator,/assets/avatar.png,"[{""id"":""profile"",""label"":""Profil"",""icon"":""user""},{""id"":""settings"",""label"":""Einstellungen"",""icon"":""settings""},{""id"":""logout"",""label"":""Abmelden"",""icon"":""log-out""}]"
section,dashboard_section,,Dashboard,,,,,,,,,,,,,,,
section,verwaltung_section,,Verwaltung,,,,,,,,,,,,,,,
section,dokumente_section,,Dokumente,,,,,,,,,,,,,,,
section,einstellungen_section,,Einstellungen,,,,,,,,,,,,,,,
item,dashboard_item,dashboard_section,,Dashboard,home,/dashboard,1,true,,,,,,,,,,
item,objekte_item,verwaltung_section,,Objekte,building,/objekte,1,false,3,primary,true,,,,,,
item,mieter_item,verwaltung_section,,Mieter,users,/mieter,2,false,,,,,,,,,,
item,finanzen_item,verwaltung_section,,Finanzen,dollar-sign,/finanzen,3,false,5,success,false,,,,,,
item,datei_upload_item,dokumente_section,,Datei-Upload,upload,/datei-upload,1,false,,,,,,,,,,
item,datei_vorschau_item,dokumente_section,,Dateivorschau,file,/datei-vorschau,2,false,12,default,true,,,,,,
item,dokumente_item,dokumente_section,,Dokumente,folder,/dokumente,3,false,,,,,,,,,,
item,wartung_item,verwaltung_section,,Wartung,tool,/wartung,4,false,2,warning,true,,,,,,
item,benutzer_item,einstellungen_section,,Benutzer,user,/benutzer,1,false,,,,,,,,,,
item,system_item,einstellungen_section,,System,settings,/system,2,false,1,danger,true,,,,,,
item,hilfe_item,einstellungen_section,,Hilfe,help-circle,/hilfe,3,false,,,,,,,,,,
