Monat,ObjektID,Mieteinnahmen,Nebenkosten,Wartungskosten,Verwaltungskosten,Nettocashflow,ROI,Leerstand_Tage,Mietausfaelle
2024-01,1,6800.00,1440.00,250.00,340.00,6650.00,4.2,0,0.00
2024-02,1,6800.00,1440.00,180.00,340.00,6720.00,4.3,0,0.00
2024-03,1,6800.00,1440.00,320.00,340.00,6580.00,4.1,0,0.00
2024-04,1,6800.00,1440.00,150.00,340.00,6750.00,4.4,0,0.00
2024-05,1,6800.00,1440.00,450.00,340.00,6450.00,3.9,0,0.00
2024-01,2,28800.00,6000.00,850.00,1200.00,27750.00,3.8,0,0.00
2024-02,2,28800.00,6000.00,320.00,1200.00,28280.00,4.1,0,0.00
2024-03,2,28800.00,6000.00,680.00,1200.00,27920.00,3.9,0,0.00
2024-04,2,27650.00,5750.00,150.00,1200.00,26050.00,3.6,15,1150.00
2024-05,2,28800.00,6000.00,280.00,1200.00,28320.00,4.0,0,0.00
2024-01,3,2800.00,450.00,180.00,280.00,1890.00,5.1,0,0.00
2024-02,3,2800.00,450.00,85.00,280.00,1985.00,5.4,0,0.00
2024-03,3,2800.00,450.00,120.00,280.00,1950.00,5.2,0,0.00
2024-04,3,2800.00,450.00,380.00,280.00,1690.00,4.5,0,0.00
2024-05,3,2800.00,450.00,95.00,280.00,1975.00,5.3,0,0.00
2024-01,4,4680.00,990.00,220.00,390.00,4070.00,3.5,0,0.00
2024-02,4,4680.00,990.00,180.00,390.00,4110.00,3.6,0,0.00
2024-03,4,4680.00,990.00,320.00,390.00,3980.00,3.4,0,0.00
2024-04,4,4680.00,990.00,150.00,390.00,4140.00,3.7,0,0.00
2024-05,4,4680.00,990.00,280.00,390.00,4010.00,3.5,0,0.00
2024-01,5,17220.00,3360.00,650.00,860.00,16070.00,4.7,0,0.00
2024-02,5,17220.00,3360.00,280.00,860.00,16440.00,4.9,0,0.00
2024-03,5,17220.00,3360.00,450.00,860.00,16270.00,4.8,0,0.00
2024-04,5,17220.00,3360.00,180.00,860.00,16540.00,5.0,0,0.00
2024-05,5,17220.00,3360.00,320.00,860.00,16400.00,4.8,0,0.00
2024-01,6,3500.00,650.00,280.00,350.00,2870.00,6.2,0,0.00
2024-02,6,3500.00,650.00,150.00,350.00,3000.00,6.5,0,0.00
2024-03,6,3500.00,650.00,380.00,350.00,2770.00,6.0,0,0.00
2024-04,6,3500.00,650.00,95.00,350.00,3055.00,6.6,0,0.00
2024-05,6,3500.00,650.00,220.00,350.00,2930.00,6.3,0,0.00

