type,id,text,position,feedbackType,icon,duration,selector,triggerEvent,isActive
hover,hover_save,Änderungen speichern,top,info,info-circle,2000,#save-button,mouseover,true
hover,hover_cancel,Abbrechen ohne zu speichern,top,warning,exclamation-circle,2000,#cancel-button,mouseover,true
hover,hover_delete,Element löschen,top,warning,trash,2000,.delete-button,mouseover,true
hover,hover_edit,Element bearbeiten,top,info,edit,2000,.edit-button,mouseover,true
hover,hover_add,Neues Element hinzufügen,top,info,plus-circle,2000,#add-button,mouseover,true
success,success_save,✓ Gespeichert,top-right,success,check-circle,1500,#save-button,click,true
success,success_upload,✓ Datei hochgeladen,top-right,success,check-circle,1500,#upload-button,click,true
success,success_delete,Element gelöscht,top-right,success,check-circle,1500,.delete-button,click,true
success,success_update,Daten aktualisiert,top-right,info,info-circle,1500,#refresh-button,click,true
success,success_login,Anmeldung erfolgreich,top,success,check-circle,2000,#login-button,click,true
button,button_save,,,primary,,300,#save-button,click,true
button,button_cancel,,,default,,300,#cancel-button,click,true
button,button_delete,,,danger,,300,.delete-button,click,true
button,button_add,,,primary,,300,#add-button,click,true
button,button_edit,,,default,,300,.edit-button,click,true

