ObjektID,Name,Adresse,Typ,Baujahr,Wohneinheiten,Gesamtflaeche,Marktwert,Status,Eigentuemer,Verwalter,Erwerbsdatum,Finanzierung,Rendite
1,Unbekannt,Unbekannte Adresse,Gewerbeimmobilie,1991,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
2,Wohnung 1 OG,Unbekannte Adresse,Mehrfamilienhaus,1992,1,112.44,80000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
3,Wohnung EG,Unbekannte Adresse,Mehrfamilienhaus,1993,1,113.83,133920.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
4,GewerbeflÃ¤che EG,Unbekannte Adresse,Gewerbeimmobilie,1994,1,58.17,82080.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
5,Immobilie 5,HauptstraÃŸe 120,Gewerbeimmobilie,1995,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
6,Wohnung 1 ( EG ),Unbekannte Adresse,Mehrfamilienhaus,1996,1,90.0,120358.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
7,GewerbeflÃ¤che 1 ( EG ),Unbekannte Adresse,Gewerbeimmobilie,1997,1,50.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
8,Immobilie 8,HauptstraÃŸe 160,Gewerbeimmobilie,1998,1,100.0,200000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
9,Wohnung EG ,Unbekannte Adresse,Mehrfamilienhaus,1999,1,100.0,259000.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
10,Wohnung 1 OG,Unbekannte Adresse,Mehrfamilienhaus,2000,1,92.0,213160.0,Aktiv,Anonymisiert,Clara Hausverwaltung,2020-01-01,Eigenkapital,6.0
