Monat,Mieteinnahmen_Soll,Mieteinnahmen_Ist,Ausfallquote,Wartungskosten,Nebenkosten,Sonstige_Ausgaben,Netto_Cashflow,Kumuliert,ROI_Monat,Anmerkungen
2024-01,8495.00,8495.00,0.0%,400.00,550.00,0.00,7545.00,7545.00,0.63%,Vollvermietung - alle pünktlich
2024-02,8495.00,8495.00,0.0%,330.00,518.00,0.00,7647.00,15192.00,0.64%,Stabile Zahlungseingänge
2024-03,8495.00,8495.00,0.0%,285.00,547.00,0.00,7663.00,22855.00,0.64%,Gartenpflege durchgeführt
2024-04,8495.00,8495.00,0.0%,630.00,510.00,0.00,7355.00,30210.00,0.61%,Heizungswartung Jahresservice
2024-05,8495.00,8495.00,0.0%,215.00,495.00,0.00,7785.00,37995.00,0.65%,Niedrige Wartungskosten
2024-06,8495.00,8495.00,0.0%,75.00,523.00,0.00,7897.00,45892.00,0.66%,Nur Brandmelder-Prüfung
2024-07,8495.00,8495.00,0.0%,320.00,485.00,0.00,7690.00,53582.00,0.64%,Sommerwartung
2024-08,8495.00,8495.00,0.0%,180.00,465.00,0.00,7850.00,61432.00,0.65%,Geringe Ausgaben
2024-09,8495.00,8495.00,0.0%,450.00,520.00,0.00,7525.00,68957.00,0.63%,Herbstwartung intensiv
2024-10,8495.00,8495.00,0.0%,280.00,580.00,0.00,7635.00,76592.00,0.64%,Heizperiode beginnt
2024-11,8495.00,8495.00,0.0%,195.00,620.00,0.00,7680.00,84272.00,0.64%,Mohamad 10 Tage verspätet
2024-12,8495.00,8050.00,5.2%,350.00,650.00,200.00,6850.00,91122.00,0.57%,Mietausfälle - Inkasso eingeleitet

