ObjektID,Name,Adresse,Typ,Wohneinheiten,Gesamtflaeche,Status,Eigentuemer,Verwalter
1,"NadlerstraÃŸe 10, 68259 Mannheim - Wohnung DG","NadlerstraÃŸe 10, 68259 Mannheim",Wohnung,1,64.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
2,"NadlerstraÃŸe 10, 68259 Mannheim - Wohnung 1 OG","NadlerstraÃŸe 10, 68259 Mannheim",Wohnung,1,101.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
3,"NadlerstraÃŸe 10, 68259 Mannheim - Wohnung EG","NadlerstraÃŸe 10, 68259 Mannheim",Wohnung,1,115.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
4,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung  Vorderhau EG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,42.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
5,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung Vorderhaus 1 OG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,67.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
6,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung Vorderhaus DG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,59.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
7,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung Seitenhaus EG-DG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,70.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
8,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung Hinterhaus EG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,106.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
9,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung Hinterhaus DG","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,71.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
10,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung DG links","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,101.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
11,"PfalzstraÃŸe 1, 68259 Mannheim - Wohnung DG rechts","PfalzstraÃŸe 1, 68259 Mannheim",Wohnung,1,89.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
12,"SophienstraÃŸe 15, 68165 Mannheim - Wohnung DG","SophienstraÃŸe 15, 68165 Mannheim",Wohnung,1,80.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
13,"SophienstraÃŸe 15, 68165 Mannheim - Wohnung 1 OG","SophienstraÃŸe 15, 68165 Mannheim",Wohnung,1,165.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
14,"SophienstraÃŸe 15, 68165 Mannheim - Wohnung UG-1","SophienstraÃŸe 15, 68165 Mannheim",Wohnung,1,45.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
15,"SophienstraÃŸe 15, 68165 Mannheim - Wohnung UG-2","SophienstraÃŸe 15, 68165 Mannheim",Wohnung,1,38.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
16,"SophienstraÃŸe 15, 68165 Mannheim - GewerbeflÃ¤che 1.OG","SophienstraÃŸe 15, 68165 Mannheim",Gewerbe,1,75.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
17,"SophienstraÃŸe 15, 68165 Mannheim - GewerbeflÃ¤che EG","SophienstraÃŸe 15, 68165 Mannheim",Gewerbe,1,245.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
18,"WilhelmstraÃŸe 26, 68259 Mannheim - Wohnung 1. OG","WilhelmstraÃŸe 26, 68259 Mannheim",Wohnung,1,125.5,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
19,"WilhelmstraÃŸe 26, 68259 Mannheim - Wohnung EG","WilhelmstraÃŸe 26, 68259 Mannheim",Wohnung,1,41.0,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
20,"WilhelmstraÃŸe 26, 68259 Mannheim - GewerbeflÃ¤che EG-1","WilhelmstraÃŸe 26, 68259 Mannheim",Gewerbe,1,45.5,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
21,"WilhelmstraÃŸe 26, 68259 Mannheim - GewerbeflÃ¤che EG-2","WilhelmstraÃŸe 26, 68259 Mannheim",Gewerbe,1,40.5,Vermietet,Anonymisiert,Clara Hausverwaltung Mannheim
